time,min,mean,max,std,count
2006-02-28 00:00:00+00:00,283.02924,288.8753,294.09683,2.2318486798276953,59
2006-05-31 00:00:00+00:00,282.3551,293.1464,301.8711,5.03088084840993,92
2006-08-31 00:00:00+00:00,292.51242,302.26236,308.6881,3.7215683236977655,92
2006-11-30 00:00:00+00:00,288.86874,297.4718,307.83167,4.799882069635985,91
2007-02-28 00:00:00+00:00,279.4781,289.25238,299.0566,4.423830150771975,90
2007-05-31 00:00:00+00:00,282.08075,297.68475,305.74045,3.837155958355414,92
2007-08-31 00:00:00+00:00,297.04892,304.04453,310.2285,2.8523232349333805,92
2007-11-30 00:00:00+00:00,287.5394,299.14746,310.53604,6.872748816716081,91
2008-02-29 00:00:00+00:00,282.46164,290.46823,300.16544,4.552825885243009,91
2008-05-31 00:00:00+00:00,286.1746,295.7224,302.7366,4.456503090514871,92
2008-08-31 00:00:00+00:00,295.45044,303.86618,310.48526,3.40243370654456,92
2008-11-30 00:00:00+00:00,289.8518,299.53616,309.81433,5.188824379927515,91
2009-02-28 00:00:00+00:00,280.17868,290.3544,299.0838,3.900606111164556,90
2009-05-31 00:00:00+00:00,285.34427,294.25275,305.2186,4.861388037030575,92
2009-08-31 00:00:00+00:00,294.26138,302.62473,310.68912,3.7444947374997537,92
2009-11-30 00:00:00+00:00,288.09637,300.76822,310.57764,5.485579726233439,91
2010-02-28 00:00:00+00:00,281.56992,289.66217,294.925,3.0856816910695946,90
2010-05-31 00:00:00+00:00,284.892,291.53345,299.20566,3.45095734962833,92
2010-08-31 00:00:00+00:00,288.87668,302.81366,307.88657,3.9272449875270876,92
2010-11-30 00:00:00+00:00,291.176,299.96277,306.77383,3.7414999380395835,91
2011-02-28 00:00:00+00:00,280.6829,289.4355,298.4302,4.252014756220937,90
2011-05-31 00:00:00+00:00,286.0248,294.12192,301.4384,3.78761082552997,92
2011-08-31 00:00:00+00:00,294.5381,305.1114,311.0261,3.278273105759119,92
2011-11-30 00:00:00+00:00,286.6147,298.8535,306.47266,5.139927569732103,91
2012-02-29 00:00:00+00:00,282.69485,292.128,300.00452,3.635009881833934,91
2012-05-31 00:00:00+00:00,283.1661,293.89774,306.57678,5.383969857446807,92
2012-08-31 00:00:00+00:00,296.3188,304.4398,310.35007,2.8829899625757034,92
2012-11-30 00:00:00+00:00,283.71524,298.10376,307.28415,5.599520402348479,91
2013-02-28 00:00:00+00:00,281.23563,289.4282,294.9271,3.4776818663780045,90
2013-05-31 00:00:00+00:00,283.03436,293.81317,302.01566,4.114001120474424,92
2013-08-31 00:00:00+00:00,292.88617,304.3984,311.4397,4.016495590143766,92
2013-11-30 00:00:00+00:00,286.2012,298.39935,311.25064,5.865063243815178,91
2014-02-28 00:00:00+00:00,282.42532,289.22873,296.62668,3.6605688260278275,90
2014-05-31 00:00:00+00:00,285.3179,293.61267,304.63187,4.782154895505275,92
2014-08-31 00:00:00+00:00,299.34103,303.64087,309.76187,2.3587561623498305,92
2014-11-30 00:00:00+00:00,288.1721,297.35538,308.375,5.2994775157422715,91
2015-02-28 00:00:00+00:00,283.59207,289.63803,296.0637,3.187921493090697,90
2015-05-31 00:00:00+00:00,284.31296,294.98547,301.91678,4.428054213550212,92
2015-08-31 00:00:00+00:00,293.92407,302.90793,308.05005,3.226342716260073,92
2015-11-30 00:00:00+00:00,285.37918,300.4181,309.39362,5.926719927023061,91
2016-02-29 00:00:00+00:00,282.33014,288.6255,296.3785,3.6844091145794517,91
2016-05-31 00:00:00+00:00,284.2619,293.87762,302.5739,5.018464040035565,92
2016-08-31 00:00:00+00:00,290.83185,303.86475,309.81577,4.16639408742624,92
2016-11-30 00:00:00+00:00,287.65143,297.42218,307.12485,5.04036889876784,91
2017-02-28 00:00:00+00:00,284.2213,292.0712,298.83337,3.2661830441896726,90
2017-05-31 00:00:00+00:00,282.21445,294.19046,304.68875,5.005042423113719,92
2017-08-31 00:00:00+00:00,294.07715,303.33698,309.37723,3.6290158339626557,92
2017-11-30 00:00:00+00:00,290.3978,299.85913,311.82193,5.50566069218142,91
2018-02-28 00:00:00+00:00,284.74896,291.25485,300.26605,4.13654336308485,90
2018-05-31 00:00:00+00:00,285.88055,295.83292,307.71268,5.49522495452398,92
2018-08-31 00:00:00+00:00,299.04544,306.0025,313.00302,3.3563014683870525,92
2018-11-30 00:00:00+00:00,286.94092,299.71378,308.69696,6.29142108949549,91
2019-02-28 00:00:00+00:00,278.94763,292.08368,300.02832,5.137802565965468,90
2019-05-31 00:00:00+00:00,282.96866,293.8895,301.6013,4.222207013671561,92
2019-08-31 00:00:00+00:00,292.30075,302.9763,311.09824,4.700632556985551,92
2019-11-30 00:00:00+00:00,288.5854,298.35468,312.15143,5.977071721654032,91
2020-02-29 00:00:00+00:00,282.18674,291.60034,298.6348,3.483889260894214,91
2020-05-31 00:00:00+00:00,285.46542,296.06503,308.85913,6.026497435451295,92
2020-08-31 00:00:00+00:00,290.36237,302.26202,310.24966,3.862143039099725,92
2020-11-30 00:00:00+00:00,288.05515,301.4266,311.0713,6.075398632259915,91
2021-02-28 00:00:00+00:00,284.07056,288.97385,294.87247,2.3715654871769134,90
2021-05-31 00:00:00+00:00,284.40506,293.20087,304.8222,4.816443838207328,92
2021-08-31 00:00:00+00:00,295.89868,302.78836,308.36642,2.917342914287971,92
2021-11-30 00:00:00+00:00,287.3763,297.73868,309.26492,5.466415311977905,91
2022-02-28 00:00:00+00:00,280.67133,288.06482,296.09668,3.767332584538191,90
2022-05-31 00:00:00+00:00,284.88327,293.80524,302.47873,4.806157240857256,92
2022-08-31 00:00:00+00:00,299.05396,303.66653,308.2959,2.3512076223156813,92
2022-11-30 00:00:00+00:00,288.62762,298.67154,308.93875,5.76679544788853,91
2023-02-28 00:00:00+00:00,283.23914,291.8725,302.41995,4.590892312747682,90
2023-05-31 00:00:00+00:00,281.08755,295.80545,304.42444,5.049969527082074,92
2023-08-31 00:00:00+00:00,294.0806,302.52786,309.2177,3.2549246946610686,92
2023-11-30 00:00:00+00:00,288.44012,297.3813,307.63428,5.047084249657932,91
2024-02-29 00:00:00+00:00,279.90524,291.26642,299.69244,4.408550518210118,91
2024-05-31 00:00:00+00:00,284.52145,294.52267,302.6761,4.1593190979283206,92
2024-08-31 00:00:00+00:00,294.6115,304.04144,309.61557,3.4993310900018297,92
2024-11-30 00:00:00+00:00,287.36398,300.1209,311.50537,5.98634977805452,91
2025-02-28 00:00:00+00:00,281.07446,290.51715,295.90738,3.176656623827435,90
2025-05-31 00:00:00+00:00,283.89996,295.8214,305.1987,5.031736688175357,92
2025-08-31 00:00:00+00:00,296.31622,303.713,310.21866,3.021829335730734,92
2025-11-30 00:00:00+00:00,287.62604,301.4481,311.27383,5.692319673162053,91
2026-02-28 00:00:00+00:00,281.02655,290.90308,298.66016,3.510320636552288,90
2026-05-31 00:00:00+00:00,284.00073,294.9779,302.34933,4.344213124685061,92
2026-08-31 00:00:00+00:00,295.7723,302.5106,307.49304,2.630571295943723,92
2026-11-30 00:00:00+00:00,285.02344,299.06454,307.56625,5.394523786914084,91
2027-02-28 00:00:00+00:00,284.94547,291.4277,298.61414,3.4661032148988378,90
2027-05-31 00:00:00+00:00,287.83417,295.74347,304.7177,4.389531405299837,92
2027-08-31 00:00:00+00:00,295.4415,302.53726,307.80563,2.7384907723041625,92
2027-11-30 00:00:00+00:00,289.0422,299.7043,309.7016,5.671873249690722,91
2028-02-29 00:00:00+00:00,285.2764,291.17957,299.0359,3.382730447540267,91
2028-05-31 00:00:00+00:00,286.87112,294.44565,302.63556,4.451565648931638,92
2028-08-31 00:00:00+00:00,292.9938,305.00528,310.98068,3.992242367235589,92
2028-11-30 00:00:00+00:00,285.76175,297.27292,309.79953,6.76506941779763,91
2029-02-28 00:00:00+00:00,282.71722,290.9167,298.30737,4.212360401784077,90
2029-05-31 00:00:00+00:00,285.7411,294.54593,303.82388,4.961891790937949,92
2029-08-31 00:00:00+00:00,297.20578,305.41617,311.58038,3.47485927953054,92
2029-11-30 00:00:00+00:00,287.21555,300.49783,310.2536,5.724112720195706,91
2030-02-28 00:00:00+00:00,282.9003,290.3101,296.44852,3.1799506567658593,90
2030-05-31 00:00:00+00:00,282.939,293.81247,302.67816,4.818130027545547,92
2030-08-31 00:00:00+00:00,293.7381,303.6147,310.27603,3.466194940831701,92
2030-11-30 00:00:00+00:00,287.615,297.98636,308.89084,4.449568730694453,91
2031-02-28 00:00:00+00:00,284.08304,293.4201,300.66888,4.416179514231156,90
2031-05-31 00:00:00+00:00,281.84125,297.4235,306.49243,6.526173925872066,92
2031-08-31 00:00:00+00:00,296.3604,304.11923,310.43597,2.879498024968309,92
2031-11-30 00:00:00+00:00,287.24506,299.2001,311.0887,6.967456572694204,91
2032-02-29 00:00:00+00:00,283.86752,289.53192,296.636,2.73590014559835,91
2032-05-31 00:00:00+00:00,286.5836,293.5544,301.6772,3.570838300881345,92
2032-08-31 00:00:00+00:00,294.09174,302.8479,310.1918,4.165339858345471,92
2032-11-30 00:00:00+00:00,289.29434,298.53348,307.394,4.957472200044627,91
2033-02-28 00:00:00+00:00,283.74057,290.9841,297.77057,3.717249580302064,90
2033-05-31 00:00:00+00:00,284.3426,294.10947,303.81995,4.30624903892587,92
2033-08-31 00:00:00+00:00,299.36426,305.7795,309.83838,2.2777241454468804,92
2033-11-30 00:00:00+00:00,288.6007,300.40222,311.86343,6.409911267381719,91
2034-02-28 00:00:00+00:00,282.36792,292.02927,301.48718,4.340625356056819,90
2034-05-31 00:00:00+00:00,283.73087,297.0277,305.51913,5.2772431977522345,92
2034-08-31 00:00:00+00:00,293.70294,303.28268,310.27188,3.3248576046035203,92
2034-11-30 00:00:00+00:00,286.51843,297.97427,309.45956,6.416304704907211,91
2035-02-28 00:00:00+00:00,284.00195,291.60828,297.4636,3.193609875193442,90
2035-05-31 00:00:00+00:00,287.47037,297.30197,308.75113,4.47946526335706,92
2035-08-31 00:00:00+00:00,289.88013,304.66833,309.2585,3.603103179044359,92
2035-11-30 00:00:00+00:00,289.64276,298.80286,308.31067,4.30318863867629,91
2036-02-29 00:00:00+00:00,282.59277,290.3127,296.81415,2.8965044411141165,91
2036-05-31 00:00:00+00:00,286.97183,295.50482,307.35547,4.762822243803344,92
2036-08-31 00:00:00+00:00,293.69968,304.0543,309.70486,3.1590701840744595,92
2036-11-30 00:00:00+00:00,284.9646,298.12045,310.98526,6.711489147382497,91
2037-02-28 00:00:00+00:00,283.60056,290.7821,297.28415,3.4883624924188683,90
2037-05-31 00:00:00+00:00,281.95074,295.06982,304.17813,4.6666934622417555,92
2037-08-31 00:00:00+00:00,295.7898,304.15662,310.3563,3.6117287878298128,92
2037-11-30 00:00:00+00:00,289.68646,302.2261,308.84286,4.6165015435162156,91
2038-02-28 00:00:00+00:00,277.94394,289.84805,297.91827,4.242304114349942,90
2038-05-31 00:00:00+00:00,282.9704,294.52267,303.39328,3.9454637974863247,92
2038-08-31 00:00:00+00:00,293.8561,303.1546,309.66272,3.0602207782762982,92
2038-11-30 00:00:00+00:00,282.11392,298.80945,311.0822,6.252466363445608,91
2039-02-28 00:00:00+00:00,282.533,288.9064,295.46222,2.844999396648083,90
2039-05-31 00:00:00+00:00,285.63507,295.94614,301.73306,4.27176109120844,92
2039-08-31 00:00:00+00:00,296.3629,303.44614,309.6311,2.936726654467362,92
2039-11-30 00:00:00+00:00,287.93872,301.53772,310.5387,5.869720929586314,91
2040-02-29 00:00:00+00:00,285.87238,292.17023,298.8938,3.0873415696564024,91
2040-05-31 00:00:00+00:00,288.6645,297.48154,305.47513,3.694718190672562,92
2040-08-31 00:00:00+00:00,297.25995,305.3038,309.67657,3.142105377429974,92
2040-11-30 00:00:00+00:00,285.2497,301.26767,311.89645,6.224946622861305,91
2041-02-28 00:00:00+00:00,283.85587,291.52267,302.15518,3.981866115821619,90
2041-05-31 00:00:00+00:00,286.43054,295.22607,304.0052,4.567876602268334,92
2041-08-31 00:00:00+00:00,289.90582,303.99585,311.08386,4.5088317369835735,92
2041-11-30 00:00:00+00:00,290.8953,299.84973,311.88196,5.65890701731677,91
2042-02-28 00:00:00+00:00,282.18256,292.47516,299.42627,4.2577772910774625,90
2042-05-31 00:00:00+00:00,284.8304,297.01892,305.11868,4.73676823463542,92
2042-08-31 00:00:00+00:00,294.5124,305.08127,310.47543,2.9166567726062187,92
2042-11-30 00:00:00+00:00,286.84534,300.6195,314.09814,6.543289216073768,91
2043-02-28 00:00:00+00:00,284.2902,290.36804,296.34256,3.2328238225965364,90
2043-05-31 00:00:00+00:00,285.54156,294.38275,304.838,4.496847641176856,92
2043-08-31 00:00:00+00:00,291.29208,303.3008,310.90396,4.054784600141262,92
2043-11-30 00:00:00+00:00,288.94818,301.2712,310.89697,5.818757619687432,91
2044-02-29 00:00:00+00:00,284.10718,290.84018,300.28964,3.040404129149104,91
2044-05-31 00:00:00+00:00,284.00952,293.942,304.01434,4.8105586606406625,92
2044-08-31 00:00:00+00:00,294.2696,304.97852,310.65793,3.0414021659972468,92
2044-11-30 00:00:00+00:00,291.11166,301.9075,312.50333,5.417990420718235,91
2045-02-28 00:00:00+00:00,282.16473,291.18695,300.8379,4.445425482717061,90
2045-05-31 00:00:00+00:00,283.9637,296.24146,306.6552,5.835369209006469,92
2045-08-31 00:00:00+00:00,296.7649,306.16208,311.50943,3.1088120414350913,92
2045-11-30 00:00:00+00:00,287.2278,300.4441,313.3301,6.648541389464626,91
2046-02-28 00:00:00+00:00,282.62564,290.89703,300.34418,4.680162666456114,90
2046-05-31 00:00:00+00:00,285.6569,295.28207,305.2694,4.730248230607035,92
2046-08-31 00:00:00+00:00,296.6778,305.20795,312.57733,3.9967388435192555,92
2046-11-30 00:00:00+00:00,294.02014,300.5889,309.24957,3.987708108738342,91
2047-02-28 00:00:00+00:00,284.23624,291.4431,298.90787,3.5279081240783814,90
2047-05-31 00:00:00+00:00,287.52472,296.44867,305.94498,4.8727746313176885,92
2047-08-31 00:00:00+00:00,291.71347,303.6237,312.01562,4.868401267072732,92
2047-11-30 00:00:00+00:00,289.70633,301.7512,310.36536,5.322749533262445,91
2048-02-29 00:00:00+00:00,286.84384,291.69916,297.03516,2.508408814424492,91
2048-05-31 00:00:00+00:00,285.95786,297.29425,309.08716,6.130202454567584,92
2048-08-31 00:00:00+00:00,298.2643,306.5025,312.82172,3.062767897368954,92
2048-11-30 00:00:00+00:00,289.5166,300.9503,311.56805,6.166336403091873,91
2049-02-28 00:00:00+00:00,286.82785,292.72845,300.719,3.416428475083918,90
2049-05-31 00:00:00+00:00,287.4055,297.77777,309.32687,4.831377178806208,92
2049-08-31 00:00:00+00:00,297.8636,306.7013,312.44904,3.0805287227443245,92
2049-11-30 00:00:00+00:00,285.07513,301.3184,308.17236,4.944311371896909,91
2050-02-28 00:00:00+00:00,283.56433,291.42856,301.11676,4.355306020402402,90
2050-05-31 00:00:00+00:00,287.91614,295.7864,305.40768,3.8931146206229514,92
2050-08-31 00:00:00+00:00,298.09814,304.9521,310.6594,2.9898764682556185,92
2050-11-30 00:00:00+00:00,288.22293,301.9481,311.54663,7.051070605831331,91
2051-02-28 00:00:00+00:00,284.93677,292.98685,300.80063,3.8975985971695644,90
2051-05-31 00:00:00+00:00,286.07327,296.88986,307.64236,5.439404653187775,92
2051-08-31 00:00:00+00:00,296.93176,304.41898,311.87958,3.255603542335269,92
2051-11-30 00:00:00+00:00,293.23828,300.046,307.91956,3.5464567929217794,91
2052-02-29 00:00:00+00:00,285.5456,293.69376,302.291,3.919003949446163,91
2052-05-31 00:00:00+00:00,288.0932,296.41452,305.83606,4.69927015733541,92
2052-08-31 00:00:00+00:00,295.45792,304.73117,312.22925,3.1072417102564507,92
2052-11-30 00:00:00+00:00,288.85098,299.32916,310.43115,4.927092344106278,91
2053-02-28 00:00:00+00:00,285.16016,291.55667,298.77075,3.2911046359743903,90
2053-05-31 00:00:00+00:00,283.8307,294.60754,305.35007,5.241096068386356,92
